,id,UserId,ProductId,Time,Score,Summary,Text,helpful
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Heather3,B010CEHQTG,2017-12-29T00:00:00.000Z,4,Good Choice,"Purchased for my mom in a memory care center. She doesn’t have to answer the phone, we simply drop in and start talking until she sees us. Picture clarity awesome! Staff also aware of this camera feature and knows we drop in frequently. Doesn’t replace room camera but good. Would give a 5 but can’t figure out how to have other alexa owners drop in on her. Anyone know?",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Jules,B010CEHQTG,2017-12-20T00:00:00.000Z,5,Love love love it,Great product. Absolute love it. Alexa is fun to converse with and has a wealth of information,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,mytoy,B010CEHQTG,2017-12-29T00:00:00.000Z,5,Great Alexa Device,I love that you and now see your answer on a screen with the Alexa Echo Show!!!,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,mrchuck,B010CEHQTG,2018-01-23T00:00:00.000Z,2,Excellent product,It was a bit more involved getting set up but thereafter the function is simply talking to Alexia. The plug adapter to turn on and off lights TV is useful and certainly worth having.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Owney,B010CEHQTG,2017-12-22T00:00:00.000Z,5,Nice addition to Echo lineup,Adds some nice tricks to the regular Echo lineup. Video calls to other Show owners works well. Speakers sound good.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,papalunchick,B010CEHQTG,2017-12-23T00:00:00.000Z,3,WORKS WELL -BUT,"THE ECHO SHOW WORKS WELL, BUT AT THIS TIME IT CANNOT CONNECT TO YOUTUBE. MAYBE WHEN AMAZON WAKES UP THE CONNECTION WILL BE RETURNED.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,ForeverAChicagoCubsFan,B010CEHQTG,2017-07-30T00:00:00.000Z,5,Amazon - Echo Show,"It's a lot of fun. To fully enjoy it, we had to get Amazon music unlimited. We bought four of them, so we can keep in touch with family. Alexa is very entertaining!",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Smokey,B010CEHQTG,2017-12-22T00:00:00.000Z,4,Great electronic.,I seen one that my son-in-law had and enjoyed using it.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,MaryS,B010CEHQTG,2018-01-26T00:00:00.000Z,5,I love the Echo Show!!!,"I love how I can see my grandkids. I also bought my kids one so they can just ""Drop In"" and I can see them. It also shows words to some songs to sing along. It is fun to have!!",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Bigfoot,B010CEHQTG,2017-10-05T00:00:00.000Z,5,Echo Show,The best product I have used for AI. Easy set up and easy to use.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,CarterDeKid,B010CEHQTG,2018-01-18T00:00:00.000Z,5,Need for smart home,"If you’re lik me and trying to update your home into a smart home, this is a must need. I have by my bed side and am able to see the front door",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Jfhman001,B010CEHQTG,2017-11-19T00:00:00.000Z,5,Love amazon,he echo show is great. I can use it to monitor my outside inside cameras.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Sllysmly,B010CEHQTG,2017-12-17T00:00:00.000Z,3,Ok not impressive,Alexa show is ok same technology as a tablet except voice activated,FALSE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Malissa,B010CEHQTG,2017-12-30T00:00:00.000Z,5,Loved it and simple to start,It has been wonderful. I bought it for my boyfriend but I get more use out of it then he does,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Jimp,B010CEHQTG,2018-01-18T00:00:00.000Z,5,Great Product,"The Amazon Show is a great addition to the Smart Home, easy to set up and to link up with a hub.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Goldenspire,B010CEHQTG,2018-02-10T00:00:00.000Z,4,Not just all plug and play,"The Echo Show is great but it is not just plug and play. The app directions are not understandable if you are having problems. However, the Amazon hot line was very helpful. But, who wants to have to call for help every week or two to keep things running. Alexa should be able to talk you through how to resolve her issues. All in all I am getting used to the features and like it.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,MiamiNacho,B010CEHQTG,2017-10-10T00:00:00.000Z,5,Excellent assistant,"This is the best assistant from Amazon, with the completion of the screen you can also see images from cameras and other devices!Simply awesome!",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,QueenStTeresa,B010CEHQTG,2018-01-12T00:00:00.000Z,5,Great,"I am satisfied with this purchase, I can see my family now without doing tango, Skype & etc.. We can have different phones from iOS and android to see each other and it’s very clear thanks Amazon......",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Daniel,B010CEHQTG,2018-03-21T00:00:00.000Z,5,Great product.,The echo show works very well with Bluetooth and WiFi. Great sound and screen. Recommend to anyone,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Sparky,B010CEHQTG,2018-01-13T00:00:00.000Z,5,Great product,Works great! Now if my dogs would actually answer when I call it would be even better! They’re just not interested but at least I can see what they’re doing,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,TexasSam,B010CEHQTG,2017-12-17T00:00:00.000Z,5,Love my amazon devices!,i love the addition of my echo show to my other Alexa devices. Having the screen to read recipes and viiew notes is great!,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,LoganB,B010CEHQTG,2018-02-02T00:00:00.000Z,4,Creative use of Technology,"If you are looking for something to help you keep more organized or keep you up to date with weather, markets, and the latest news the Amazon Echo Show is what you are looking for. Honestly, the product is top of the line technology, and is easy to use as long you are patient and work with it, and read the directions. The size of it is truly perfect; it honestly reminds me of the size of normal alarm clock that would have on a nightstand, and with that it truly can serve that purpose. It also has a touch screen, and I feel it is very durable and can stand to last. The sound quality is also superb, with dual 2-inch speakers. It has Bluetooth capabilities as well, but it only works with android, Samsung, Fire OS, IOS device, excluding Mac products. The Echo Show comes in two colors black and white. The product has many different features and functions, and they can accommodate pretty much anyone’s needs. The top feature is the Alexa App, which is an application in which you can call commands and ask it questions about most anything. Then I believe the music capabilities are truly amazing and how you can ask it to play almost any song or playlist whenever you want. Also you can tell it to volume up or down as well. Another new modernized technology it has is the capability to do hands free voice command Smart Home options. A couple things that could be improved, is sometimes that it does not fully hear your exact words, and it will search for something you aren’t expecting. The other function it could have is it could have single voice recognition to only several voices, so then you don’t have the entire room trying to mess with it constantly. The price is also fair as well, for its creative capabilities it has. So if you are trying to find some new technology to add to your home the Echo Show would be a great addition for you.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Michelle,B010CEHQTG,2017-12-01T00:00:00.000Z,5,Echo show is easy to use,"Love the echo show so much! Easy to use, connects to your mobil phone to easily call people!",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,SoldBytech,B010CEHQTG,2017-12-24T00:00:00.000Z,5,Overall Excellent product from Amazon,"9.5/10 Rating ! This has to be one of the best AI products I have used in a while. The screen for an smart home device can be very useful. It really can't compete with the Google home because the Show just brings convenience without having to call it. I primarily use the show to turn on/off my smart lights, simple cooking measurements, simple math, travel time, store location hours, calling, and video calling.... and more. Everything else like, news, calendars, weather are already displayed on screen. Definitely worth it if you plan on using all the minimum features above.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,maria,B010CEHQTG,2017-10-28T00:00:00.000Z,5,Amazing!,Love the many features ! Highly recommend it! using the echo saves me lots of unnecessary work... and that’s amazing!,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,TechSenior,B010CEHQTG,2018-02-21T00:00:00.000Z,5,"Decent speaker, excellent information provider","Used in my home office, gives me all of the information I ask for while my computers are doing other chores. Plays any music that I request, decent quality sound.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Zanthrin,B010CEHQTG,2017-12-01T00:00:00.000Z,3,"Cool product, needs polish","I like my Show, but i can't say i love it, for being the priciest piece of my collection of alexa devices, it has probably the worst microphone. Getting it to respond is frustrating at times, where i have no problem with a standard echo. besides this, it all works as advertised. I'd wait for the second generation, i'm sure they can work the kinks out.",FALSE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Mike,B010CEHQTG,2018-01-12T00:00:00.000Z,5,Bought it as a gift,I bought this as a gift. As far as know it works fine,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Zeek1106,B010CEHQTG,2018-01-12T00:00:00.000Z,5,Best echo yet,Great sound and amazing options. Love this!!! Great replacement for original echo,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,jgmhunter,B010CEHQTG,2017-12-19T00:00:00.000Z,5,Bought as a gift,I bought this as a gift so I haven't gotten to use it much yet. The initial setup was really easy and I am sure that she is going to love it!,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Baddog,B010CEHQTG,2018-02-03T00:00:00.000Z,5,"Great Device for ""Smart Home"" Enthusiasts",Facilitates easy home set-up of many Smart devices.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Xtreme56,B010CEHQTG,2018-01-12T00:00:00.000Z,5,Perfect,"Having 3 amazon echos I had to pick up these to add to more rooms. These work best in the bedroom or kitchen. Video display is bright. Video calling is a great addition and is flawlessly, get them when they go on sale",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Rkhart,B010CEHQTG,2017-12-22T00:00:00.000Z,5,Echo on steroids,"I have multiple echos and dots but this one is way better. Who doesn’t like seeing the lyrics of the music, or using video chat with other echo shows. I have two and thinking of getting another one soon.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Bear,B010CEHQTG,2017-12-23T00:00:00.000Z,5,An alarm clock on steroids,"User friendly, hand free little assistant. Makes your mornings easier and gets you started for the day. And it looks cool",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Maria,B010CEHQTG,2018-04-19T00:00:00.000Z,5,Great for office use,I bought this for my sister for Christmas. She loved them!,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Dmonroy82,B010CEHQTG,2018-01-21T00:00:00.000Z,5,Awesome,I love it.. easy to use. Many different features...,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Mik3yRobb5,B010CEHQTG,2017-12-03T00:00:00.000Z,5,I love my new Echo Show!,"The Echo Show is a very awesome product because of Alexa itself! She will answer questions you ask her, play music on your demand, and you can even ask her to make calls and video chats for you. I also like the fact that it sounds very nice and the video quality is unlike anything I've ever seen in a hybrid tablet product. A must have for your home!",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,bestguy,B010CEHQTG,2017-12-08T00:00:00.000Z,5,works very well,it works well and sounds very good and the pictures are good too,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Munger,B010CEHQTG,2017-12-17T00:00:00.000Z,5,Great product and at a great price.,Bought the Echo Show because of the display and am not disappointed. The Echo was purchased for somebody as a gift but this was purchased for me and is working great. The only thing that I am disappointed with is that I have to go through Bluetooth to play my music which is on iTunes. The display is also very vivid and clear.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,S2000CR,B010CEHQTG,2017-12-06T00:00:00.000Z,1,YouTube no longer works,Purchased this device at launch (2 pack for $384.xx) and now YouTube doesn't work. YouTube was one of the main features that I used. Without YouTube you'll be better off buying the $40 Echo Dot instead.,FALSE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Irishannie,B010CEHQTG,2018-01-12T00:00:00.000Z,5,Love this,"I’m in love with Alexa. Love her fir music, quick weather updates and in the kitchen for recipes. It’s great getting them step by step and not having to keep putting the passcode in on my iPad with hands covered in flour.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Frank,B010CEHQTG,2018-01-06T00:00:00.000Z,5,Great Assistant,"Amazon's Echo Show has been a great help to my daily rutine. From asking simple things like the weather to more specific things like flash briefings or traffic to my commute, echo show is a great tool for any tech enthusiast",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,derick,B010CEHQTG,2017-10-20T00:00:00.000Z,5,nice,my children loving alexa always talking to alexa every day hehehe,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,jeremy479ark,B010CEHQTG,2017-09-15T00:00:00.000Z,5,Love Alexa,Alexa is a great product that can perform tasks and answer all kinds of questions. The Show and its video feature makes it that much more interactive.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,ANdy,B010CEHQTG,2017-12-22T00:00:00.000Z,5,Endless possibilities.,I use it in my office as a personal assistant. Not just for the home,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,MikeB,B010CEHQTG,2018-03-21T00:00:00.000Z,5,Cool stuff,"Alexa controls my lights, TV and sound system. Very happy with this.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Mike,B010CEHQTG,2018-01-13T00:00:00.000Z,5,Bought two of these. Love them and so do the kids,We bought two of these for the kids. They love them and I now have an echo dot,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Buckeye,B010CEHQTG,2017-12-02T00:00:00.000Z,5,Great addition to the Amazon echo family,"Love the Amazon Echo Show! The video display is so helpful. Very good quality video and audio sounds better than the Echo Plus speaker. Search a recipe and use it without flipping through recipe books. Need to know a measurement conversion? Just ask Alexa! Learn cooking techniques, recommended cooking times...endless list of available answers. Great addition to my kitchen. LOVE that we can play Christmas music throughout our home using all our Echo devices. Lots of fun. This works just like all echo products,,,.with smart accessories you can control your home thermostat, lights etc. Alot of expandable options.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,GRANDMA,B010CEHQTG,2017-12-22T00:00:00.000Z,5,Love my new I Pad,"Love my new I Pad, and New TV for my kitchenAlso bought 3 Alexa with pods for my family at xmas",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,eslongview,B010CEHQTG,2017-12-20T00:00:00.000Z,3,Average,Just an average Alexa option. Does show a few things on screen but still limited.,FALSE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Yoshi,B010CEHQTG,2017-10-06T00:00:00.000Z,5,I love this Amazon Device,"I got this as a spur of the moment thing. I figured it was going to be super gimmicky but was pleasantly surprised that it's actually a very helpful device for organizing, shopping, smart home control, listening to music, or even watching some videos while I'm washing dishes. My show is in my kitchen and I've used it for countless things. I think this is amazon's best Alexa yet.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Jmac,B010CEHQTG,2017-11-15T00:00:00.000Z,5,So far so good!,Gave it to my husband for his birthday and he loves it! He is able to change the screen picture from his phone so there are different pictures everyday. Nice to tell Alexa to keep track of what we need at the store. Can’t wait to use it more!,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,sweets,B010CEHQTG,2018-01-23T00:00:00.000Z,4,The Amazon Echo is a great product....,I love the ECHO- Alexa is awesome... it was a Christmas present... Also received two Dots to place in other rooms....,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Lamchop,B010CEHQTG,2017-12-12T00:00:00.000Z,5,Smart Home Starter Kit,Bought this to start implementing smart home features. Gets the job done and the screen is a nice addition.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,ChrisS26,B010CEHQTG,2017-12-21T00:00:00.000Z,4,Very useful,"If you keep asking it to do things, you will be surprised at how much it can do",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,pbunch,B010CEHQTG,2017-12-04T00:00:00.000Z,4,Amazon - Echo,"Bought this for a Christmas gift, so haven't actually seen this in action yet. Checked other reviews and they were good, and Best Buy had an awesome Black Friday price.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Bubslady,B010CEHQTG,2017-12-20T00:00:00.000Z,5,I switched the echo for the show and I love it!,The show is an all in one Alexa-enabled machine. I love the words to the songs and I'm all about being able to watch my amazon prime videos.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Deborah,B010CEHQTG,2017-11-17T00:00:00.000Z,5,I'm buying another as a gift!,"Fun and easy to use. Music sounds great. Set timers, reminders and sync your calendar. I'm giving one as a gift to my daughter so we can video chat with ""drop in"" any time.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,joe1129,B010CEHQTG,2017-12-16T00:00:00.000Z,4,Easy to set up,"Plug n play, easy to use. Speakers are good for music.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,nice,B010CEHQTG,2017-12-24T00:00:00.000Z,5,Love it,I love this thing! It’s so fun and easy to use. My 3 year old even uses it to play the trolls or lion king soundtrack,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Stoney,B010CEHQTG,2018-01-02T00:00:00.000Z,5,Another winner from Amazon,"The Echo Show is a great addition to the Amazon family. Works just like the Echo, but with a 7"" screen. Bright vibrant display. Rich clear sound. Works great with Arlo security cameras. Excellent smart home addition. Just hope Google and Amazon start playing nice with each other soon so youtube will work again.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,carebear,B010CEHQTG,2017-09-15T00:00:00.000Z,4,purchased for a team to review for use w/journalis,purchased for a capstone team to test and review how it would benefit today's journalist.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,LorieW2017,B010CEHQTG,2017-12-20T00:00:00.000Z,5,We love this product!,This product is super easy to use and the sound quality is terrific. I use it every day! The easy of use is also appreciated!,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,AdamT,B010CEHQTG,2018-01-18T00:00:00.000Z,4,Pretty Sweet,Fairly easy to use on set up and use. Most annoying issue is when the kids try to talk to her. Mainly use for music and general information.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,LisaOpinion,B010CEHQTG,2017-12-22T00:00:00.000Z,4,Pretty cool,I do like the Alexa stuff and how it can connect to my phone. Plan on getting the door bell video stuff next.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,pura,B010CEHQTG,2017-08-21T00:00:00.000Z,4,Good product and quite useful,Amazon ECHO show is excellent with add-on video features. The screen is smaller than I expected but meet the requirements.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,bullyboo,B010CEHQTG,2017-12-20T00:00:00.000Z,4,love it,4 stars only because its s e is bing. works great with arlo cameras,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Budman,B010CEHQTG,2017-12-22T00:00:00.000Z,5,Great addition to home automation,Display is great for doing video calls with others with echo show. Works well with home automation devices. Sound is great for listening to music.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,cabbagecade,B010CEHQTG,2017-07-31T00:00:00.000Z,5,Best Amazon product out right now,"I bought the Alexa Show on a whim, and it was a great decision. My wife and daughter absolutely love it, and they ask Alexa questions and to play their favorite music all the time. The display is very nice, and I love the sleek look of it. Amazon has outdone itself.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Cricket,B010CEHQTG,2018-04-18T00:00:00.000Z,5,I love my Alexa show.,My daughter bought a show so my 10 year old grandson could get in touch with her when he got home from school so I bought one so he could call us and we can see each other. We love it.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,JJJJ,B010CEHQTG,2017-12-24T00:00:00.000Z,4,Echo Show,Great addition to the amazon device family. Great Christmas gift.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,BMAN,B010CEHQTG,2018-05-24T00:00:00.000Z,5,echo great,We purchased the Amazon - Echo Show with Alexa in store. Took it home and after connection wi-fi it was great. we cannot wait to buy light bulbs and a thermostat. Great buy,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,kittymama,B010CEHQTG,2018-01-01T00:00:00.000Z,5,Love Alexa,"I wasn't sure what to expect from my echo show, but I am super happy that I bought it. Alexa is great. She tells me the weather, traffic, news updates and more each day.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Nicole,B010CEHQTG,2017-12-01T00:00:00.000Z,5,Great Product,"Great for looking up recipes when your cooking and your hands are tied up. Also, perfect for “dropping in” on family & friends.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Gibzilla,B010CEHQTG,2018-09-15T16:34:29.000Z,5,More features than I expected.,"I already have 6 Amazon devices (2 Echo's and 4 Dot's). I expected this device to be slightly different as it is the only Amazon device I have with a screen. I was pleasantly surprised at the large number of helpful features that a screen could bring. It occasionally scrolls suggestions across the screen, and most of them have been very helpful. I'm planning on setting another one up at my 93 year old mothers house. She'll get a kick out of it also.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,TheDigialGuy,B010CEHQTG,2017-12-22T00:00:00.000Z,5,Love Echo Show,Bought 3 of these for Christmas for my Family members.I’ve had mine for a year in my Kitchen and just love it!So much you can do with it and works great with my 5 Arlo Pro cameras.Big plus...Amazon is Always updating the Show to do more.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Spanky,B010CEHQTG,2018-01-05T00:00:00.000Z,5,Delivers on promises,"Despite a less than friendly price point (if you don't get it on sale), this Amazon item is well designed and delivers on the promises in the hype and product description. The emphasis with this item is ""show"", so it's no surprise that sound quality does not compare with the Echo, but if you want the convenience of a voice controlled screen other than your phone, this product delivers. It's value is even greater when paired with other smart devices such as security cams. Another added bonus comes when friends or family also have a Show, so that you can do ""drop in"", which is essentially visual phone calls. It's great for checking on elderly family because it does not require them to be technically savvy.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Boomerchick,B010CEHQTG,2017-08-21T00:00:00.000Z,5,Love Echo Show,"Previously had 2 echo Dots in play at my home, so knew I wanted more from my Alexa. Echo show now in kitchen and allows easy review of youtube for entertainment and recipe instructions. Also like streaming music and having the lyrics stream, too!!! Very cool. Looking forward to Alexa learning more and more to respond to my questions on various topics. Hands free is the way to go.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Robert,B010CEHQTG,2017-07-19T00:00:00.000Z,4,It's not a bad device,"The Alexa Show was purchased to replace another much older device and while the Show is a good device it is lacking in some aspects that I had in the older device. I'm not sure if I'm missing it in the Show but I was able to get internet cameras on the older device (such as San Diego Zoo Elephants) that you can't get on the Show. While certainly not a deal breaker it was fun to watch. Setup was pretty straight forward and easy. It is a good aspect that we can talk to the device and it knows what we want to a certain extent. It is very literal at times and you have to make sure you have the exact code words or you get something other than what you want. (such as ""play"" or ""start"" or ""open"") I use it as an alarm clock and it is quite easy to set up the same time for my week but it would be a little more difficult if you have to work one weekend day of the week and then 4 more or other combination. You would have to set up several different alarms, one for each day as far as I can see. Some of the alarm sound choices are a bit alarming, I don't really want to be terrified awake each day. I found one that was mellow and at a moderate sound level works well. It would be nice to be able to add your own alarm sounds so you could have it customized to what you'd like. I don't see that yet anywhere. Another thing about the alarm is if you try to dismiss it and touch the screen the wrong way it puts the alarm into snooze mode instead of turning it off. If you tell it to dismiss the alarm it works fine but there are times I'd rather not say anything at that time of day and just dismiss it with a swipe, which is possible, but very sensitive and if you miss, here comes snooze! Just little things that may get fixed in the future with enough feedback from the customers but some may not effect people as much as some people who have more impact with a particular anomaly. I am thinking of getting a thermostat that hooks to it so I can monitor and change the heat and cooling but that is in the future at this time. Hoping that works well when it arrives.It will be nice to raise the temp a degree in the cold of winter without having to get out of the warmth of the bed. All in all I'd say it's a good emerging technology but needs a little work. Considering this type of thing was science fiction not too long ago It's kind of where we're heading.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,discwizard70,B010CEHQTG,2017-12-23T00:00:00.000Z,5,Alexa is very useful,"Alexa Show is really well put together. The main reason for my purchase was to create my own 'surveillance system' linking my Ring Doorbell, and Ring Floodlights to view on command by Alexa on the Show Screen. Yes, you can talk to it, and get results for almost any query, but with the show, you get a lot more. The touch screen is great for video calls, especially when you install the Alexa App on your family cell phones. Alexa can scan items via UPC and order them on Amazon, or tell you where to get them. The recipes you ask for are not only spoken to you, but SHOWN to you. Also, when music plays, you can see the lyrics on screen (If you use Amazon Music to play the music). You can ask for a news briefing, and you SEE the news, highlights, etc. The speakers aren't quite up to the same standard as the echo series, but it's close. The sound fills the room nicely. When the Echo Show is not being immediately used, the screen shows a picture of your choice, making it a digital frame too. Overall, the device is very nice, and they are constantly releasing new skills for Alexa to use, so it seems like there is always something new to wow you. Turning on and off lights, adjusting your thermostat, playing music, viewing security cameras are all just the standard duties, there is WAY more to do with this device!",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,LisaCT,B010CEHQTG,2017-11-25T00:00:00.000Z,5,Love this,I resisted getting this since I already have two Echo units and one Dot. Black Friday gave me reason to buy one. I LOVE IT twice as much as the regular Echo. The set up is faster and easier and I love the visuals. I use my Shopping List and To Do List A LOT and having it display and being able to edit it without logging into the app makes it so much more worth it. I may be getting another :),TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Neonlady96,B010CEHQTG,2017-09-01T00:00:00.000Z,4,iPhone 7 is great especially for APPLE users,No real upgrades to the iPhone 7 from the 6. There is no learning curve for sure. However the camera is better and that is a plus.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,7722,B010CEHQTG,2017-12-15T00:00:00.000Z,5,great fun,We have greatly enjoyed using Alexa and having this gadget in our kitchen.,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Anncap,B010CEHQTG,2018-03-21T00:00:00.000Z,5,Great product,"I love the echo show. It is a personal assistant, DJ, weatherman & news person all in one. This is our second Show. We love the video qualties & the sound can't be beat.",TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Missy,B010CEHQTG,2018-01-22T00:00:00.000Z,5,Great buy,My entire family enjoyed all of the purchases we from the store,TRUE
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,RobWtx,B010CEHQTG,2017-12-22T00:00:00.000Z,5,Christmas Gift,"Wife wanted this gift and it did not disappoint, it's the next step in Amazon's capabilities, adding visual to the sound that was already there.",TRUE
